ID,Entidad,Categoria,Subtipo,TMPI_Score,Tier,Tiempo_Estimado_Cita,Bounty_Por_Cita,Sede,Dominio,Estatus_Dominio,Decisor_Clave,Dork_LinkedIn,Dork_CONDUSEF_SIPRES,Pitch_Asunto,Pitch_Cuerpo
4,Credifiel,SOFOM,Crédito Gubernamental y Nómina,100,Tier A (Inmediato),3 a 7 días,"$2,000 USD",CDMX,credifiel.com.mx,Activo / En Línea,Director de Cobranza / CFO / Head de Riesgo,"site:linkedin.com/in (""Credifiel"") (""Director de Cobranza"" OR ""Director de Crédito"" OR ""CFO"" OR ""Head of Payments"")","site:condusef.gob.mx ""SIPRES"" ""Credifiel""",Reducción de cartera vencida e incidentes de cobro en Credifiel,"Hola [Nombre], en Toku ayudamos a entidades como Credifiel a reducir el rebote en cobro recurrente y domiciliado hasta un 30% con reintentos inteligentes y ligas automáticas vía WhatsApp. ¿Podríamos coordinar una llamada remota de 15 min este jueves a las 11:00 AM para revisar el modelo?"
11,Avanza Sólido,SOFOM,Microfinanzas Rural/Urbano,100,Tier A (Inmediato),3 a 7 días,"$2,000 USD",Chiapas / CDMX,avanzasolido.com,Activo / En Línea,Director de Cobranza / CFO / Head de Riesgo,"site:linkedin.com/in (""Avanza Sólido"") (""Director de Cobranza"" OR ""Director de Crédito"" OR ""CFO"" OR ""Head of Payments"")","site:condusef.gob.mx ""SIPRES"" ""Avanza Sólido""",Reducción de cartera vencida e incidentes de cobro en Avanza Sólido,"Hola [Nombre], en Toku ayudamos a entidades como Avanza Sólido a reducir el rebote en cobro recurrente y domiciliado hasta un 30% con reintentos inteligentes y ligas automáticas vía WhatsApp. ¿Podríamos coordinar una llamada remota de 15 min este jueves a las 11:00 AM para revisar el modelo?"
10,Finvivir,SOFOM,Microcréditos Populares,100,Tier A (Inmediato),3 a 7 días,"$2,000 USD",Guadalajara / CDMX,finvivir.com.mx,Activo / En Línea,Director de Cobranza / CFO / Head de Riesgo,"site:linkedin.com/in (""Finvivir"") (""Director de Cobranza"" OR ""Director de Crédito"" OR ""CFO"" OR ""Head of Payments"")","site:condusef.gob.mx ""SIPRES"" ""Finvivir""",Reducción de cartera vencida e incidentes de cobro en Finvivir,"Hola [Nombre], en Toku ayudamos a entidades como Finvivir a reducir el rebote en cobro recurrente y domiciliado hasta un 30% con reintentos inteligentes y ligas automáticas vía WhatsApp. ¿Podríamos coordinar una llamada remota de 15 min este jueves a las 11:00 AM para revisar el modelo?"
15,Micro Credit,SOFOM,Microcréditos,100,Tier A (Inmediato),3 a 7 días,"$2,000 USD",Veracruz / CDMX,microcredit.mx,Activo / En Línea,Director de Cobranza / CFO / Head de Riesgo,"site:linkedin.com/in (""Micro Credit"") (""Director de Cobranza"" OR ""Director de Crédito"" OR ""CFO"" OR ""Head of Payments"")","site:condusef.gob.mx ""SIPRES"" ""Micro Credit""",Reducción de cartera vencida e incidentes de cobro en Micro Credit,"Hola [Nombre], en Toku ayudamos a entidades como Micro Credit a reducir el rebote en cobro recurrente y domiciliado hasta un 30% con reintentos inteligentes y ligas automáticas vía WhatsApp. ¿Podríamos coordinar una llamada remota de 15 min este jueves a las 11:00 AM para revisar el modelo?"
9,Attendo,SOFOM,Crédito de Nómina,100,Tier A (Inmediato),3 a 7 días,"$2,000 USD",CDMX,attendo.mx,Activo / En Línea,Director de Cobranza / CFO / Head de Riesgo,"site:linkedin.com/in (""Attendo"") (""Director de Cobranza"" OR ""Director de Crédito"" OR ""CFO"" OR ""Head of Payments"")","site:condusef.gob.mx ""SIPRES"" ""Attendo""",Reducción de cartera vencida e incidentes de cobro en Attendo,"Hola [Nombre], en Toku ayudamos a entidades como Attendo a reducir el rebote en cobro recurrente y domiciliado hasta un 30% con reintentos inteligentes y ligas automáticas vía WhatsApp. ¿Podríamos coordinar una llamada remota de 15 min este jueves a las 11:00 AM para revisar el modelo?"
1,Dimex,SOFOM,Crédito de Nómina y Pensionados,100,Tier A (Inmediato),3 a 7 días,"$2,000 USD",Monterrey / CDMX,dimex.mx,Activo / En Línea,Director de Cobranza / CFO / Head de Riesgo,"site:linkedin.com/in (""Dimex"") (""Director de Cobranza"" OR ""Director de Crédito"" OR ""CFO"" OR ""Head of Payments"")","site:condusef.gob.mx ""SIPRES"" ""Dimex""",Reducción de cartera vencida e incidentes de cobro en Dimex,"Hola [Nombre], en Toku ayudamos a entidades como Dimex a reducir el rebote en cobro recurrente y domiciliado hasta un 30% con reintentos inteligentes y ligas automáticas vía WhatsApp. ¿Podríamos coordinar una llamada remota de 15 min este jueves a las 11:00 AM para revisar el modelo?"
12,Financiera Fortaleza,SOFOM,Crédito de Nómina,100,Tier A (Inmediato),3 a 7 días,"$2,000 USD",CDMX,financierafortaleza.com,Activo / En Línea,Director de Cobranza / CFO / Head de Riesgo,"site:linkedin.com/in (""Financiera Fortaleza"") (""Director de Cobranza"" OR ""Director de Crédito"" OR ""CFO"" OR ""Head of Payments"")","site:condusef.gob.mx ""SIPRES"" ""Financiera Fortaleza""",Reducción de cartera vencida e incidentes de cobro en Financiera Fortaleza,"Hola [Nombre], en Toku ayudamos a entidades como Financiera Fortaleza a reducir el rebote en cobro recurrente y domiciliado hasta un 30% con reintentos inteligentes y ligas automáticas vía WhatsApp. ¿Podríamos coordinar una llamada remota de 15 min este jueves a las 11:00 AM para revisar el modelo?"
28,Crediclub,SOFIPO,Ahorro y Microcréditos,97,Tier A (Inmediato),3 a 7 días,"$2,000 USD",Monterrey / CDMX,crediclub.com,Activo / En Línea,Director de Cobranza / CFO / Head de Riesgo,"site:linkedin.com/in (""Crediclub"") (""Director de Cobranza"" OR ""Director de Crédito"" OR ""CFO"" OR ""Head of Payments"")","site:condusef.gob.mx ""SIPRES"" ""Crediclub""",Reducción de cartera vencida e incidentes de cobro en Crediclub,"Hola [Nombre], en Toku ayudamos a entidades como Crediclub a reducir el rebote en cobro recurrente y domiciliado hasta un 30% con reintentos inteligentes y ligas automáticas vía WhatsApp. ¿Podríamos coordinar una llamada remota de 15 min este jueves a las 11:00 AM para revisar el modelo?"
24,Finamigo,SOFIPO,Microfinanzas,97,Tier A (Inmediato),3 a 7 días,"$2,000 USD",CDMX,finamigo.com.mx,Activo / En Línea,Director de Cobranza / CFO / Head de Riesgo,"site:linkedin.com/in (""Finamigo"") (""Director de Cobranza"" OR ""Director de Crédito"" OR ""CFO"" OR ""Head of Payments"")","site:condusef.gob.mx ""SIPRES"" ""Finamigo""",Reducción de cartera vencida e incidentes de cobro en Finamigo,"Hola [Nombre], en Toku ayudamos a entidades como Finamigo a reducir el rebote en cobro recurrente y domiciliado hasta un 30% con reintentos inteligentes y ligas automáticas vía WhatsApp. ¿Podríamos coordinar una llamada remota de 15 min este jueves a las 11:00 AM para revisar el modelo?"
30,Financiera Súmate,SOFIPO,Microcrédito Productivo,97,Tier A (Inmediato),3 a 7 días,"$2,000 USD",Puebla / CDMX,sumate.com.mx,Activo / En Línea,Director de Cobranza / CFO / Head de Riesgo,"site:linkedin.com/in (""Financiera Súmate"") (""Director de Cobranza"" OR ""Director de Crédito"" OR ""CFO"" OR ""Head of Payments"")","site:condusef.gob.mx ""SIPRES"" ""Financiera Súmate""",Reducción de cartera vencida e incidentes de cobro en Financiera Súmate,"Hola [Nombre], en Toku ayudamos a entidades como Financiera Súmate a reducir el rebote en cobro recurrente y domiciliado hasta un 30% con reintentos inteligentes y ligas automáticas vía WhatsApp. ¿Podríamos coordinar una llamada remota de 15 min este jueves a las 11:00 AM para revisar el modelo?"
