Empresa,Categoria,Sistema,Email,Telefono,Web,Clientes_Conocidos
ATIO GROUP,Software POS & Control Volumétrico,ControlGAS / FuelGATE,marketing@atio.com.mx,55.5001.5100,www.atiogroup.com.mx,"Petro-7, Orsan, G500, Hidrosina, Rendilitros (+5,000 estaciones)"
PRE SOFTWARE,Software POS & Analytics IA,GASPRE / FacturaPRE,dalvarez@gaspre.mx,55.2728.4708,www.grupopre.ai,"RendiChicas, Grupo Burgos, Combuexpress, Gasomax, Ruta, Petrum, Gilga, Corporativo AP, Top Energy, Gomasa, Gonergy"
ALVIC,Software POS & Automatización,Alvic Octane POS,contactomx@alvic.com.mx,55.4624.1000,www.alvic.net,Estaciones de Servicio y Terminales de Almacenamiento
EGAS,Software POS & Control Volumétrico,e-Gas POS,ventas@egas.com.mx,55.5566.5951,www.egas.com.mx,"Grupo Petrolero Arca, Cadenas Centro y Bajío"
iGAS,Software POS & Agilizador de Isla,iGAS Anexo 21,ventas@igas.com.mx,668.816.2160,www.igas.mx,Estaciones de servicio e independientes
AIE MÉXICO,Software POS & Control Volumétrico,Software SIGMA-AIE,ventas@aiemexico.com.mx,777.608.6633,www.aiemexico.com.mx,Estaciones de Servicio a nivel nacional
AVALON SOFTWARE LATAM,Software POS & Monederos,Arcadia CBOS / OpenCard,xmunguia@avaloninformatica.com,56.1164.7838,www.avalonsoftware.com,Grupos gasolineros y retail
GAS MANAGER,Software POS & Despacho,Gas Manager Volumétrico,info@gasmanager.com,811.224.0330,www.gasmanager.com,"Gasolineras, autoconsumos y transportistas"
GRUPO CADISA,Software POS & Control Despacho,Cadisa Control,marcos.robles@cadisaenlinea.com.mx,662.112.0745,www.cadisaenlinea.com.mx,Estaciones de servicio y flotillas
FUEL SOFT / ENERCON,Software TPV & Control Volumétrico,Enercon TPV / ENERPAY,gtapia@enercon.mx,444.651.2376,www.enercon.mx,Estaciones de Servicio PEMEX y privadas
BRENTEC,Software a Medida & Volumétrico,Brentec Control,gcantov@brentec.mx,999.163.3598,www.brentec.mx,Empresas del sector petrolífero
KERNOTEK,Software & Hardware Volumétrico,Kernotek Anexo 21,ventas@kernotek.mx,464.649.3407,www.kernotek.mx,Estaciones de servicio e industria
NEXUS FUEL,Software & Automatización Operativa,Nexus POS,info@nexusfuel.com,664.375.2177,www.nexusfuel.com,Cadenas del noroeste y centro
POLARIS CONTROL VOLUMÉTRICO,Software POS & Flotillas,Polaris Downstream,info@ecsmexico.com,81.8100.9605,www.ecsmexico.com,Estaciones de servicio y liquidaciones
LUQROSS,Software Control Volumétrico,Suite Olimpo Anexo 30,david_rosas@luqross.com,55.1992.5117,www.luqrosstecnologia.com,Estaciones de servicio
INTERLOGIC,Fabricante de Quioscos & Cajeros,Quioscos Autoatención,comercial@interlogic.com.mx,66.2215.7715,www.interlogicglobal.com,"Oxxo Gas, cadenas de conveniencia y bancos"
SEPROCESA,Gestión y Control de Efectivo,Smart Safes / Efectivo,gina.munoz@seprocesa.com.mx,449.329.5956,www.seprocesa.com,Estaciones de servicio y retail
SISTEMAS NEUMÁTICOS DE ENVÍOS (SNE),Transporte Neumático Efectivo Isla,aerocom AC-GAS,ventas@sne.com.mx,55.5377.2170,www.sne.com.mx,Estaciones de servicio a nivel nacional
CISTEM / CISNEROS GROUP,Hardware & Sistemas de Estaciones,Equipagas / Gasmen,lcisneros@cistem.com.mx,664.621.0631,www.cistem.com.mx,Estaciones de servicio e industria
GILBARCO VEEDER-ROOT,Dispensarios & POS Doms/Orpak,Gilbarco / Invenco,marketing.la@gilbarco.com,Oficial LA,www.gilbarco.com/mx,Líder global en gasolineras
PETROTECH,Distribuidor Platinum ControlGAS & Hardware,ControlGAS / Gilbarco / Wayne,rarreola@petrotech.com.mx,333.634.9293,www.petrotech.com.mx,Grupos gasolineros en Occidente y Centro
PETROGAS,Equipamiento & Dispensarios (17 Sucursales),Gilbarco Veeder-Root,contacto@petrogas.com.mx,818.305.0800,www.petrogas.com.mx,Estaciones de servicio México y EE.UU.
EMAGAS,Dispensarios & Sistemas de Control,Bennett / Petrotec,otrevino@emagas.com.mx,55.6120.2366,www.emagas.com.mx,Estaciones de servicio
SIME (Mecatrónica Arciga),Mantenimiento & Integrador Sigma/Alvic,Wayne / Gilbarco / Alvic,jorgeheg@hotmail.com,55.5551.2437,www.grupo-sime.com,Gasolineras PEMEX e independientes
GRUPO SOL REY,Equipamiento Dover Fueling / Wayne,Wayne / OPW,adal.solis@solrey.com,333.837.3760,www.solrey.com,Estaciones de servicio en México
