ID,Entidad,Categoria_Regulatoria,Subtipo_Negocio,Prioridad_Prospeccion,Dificultad_Acceso,Decisor_1_Cargo,Decisor_2_Cargo,Decisor_3_Cargo,Canal_Sugerido,Bounty_USD,Estatus
1,Dimex,SOFOM,Crédito de Nómina y Pensionados,Alta,Media,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
2,MexDin,SOFOM,Préstamos Personales,Alta,Baja,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
3,Financiera Independencia,SOFOM,Crédito al Consumo Masivo,Alta,Media,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
4,Credifiel,SOFOM,Crédito Gubernamental y Nómina,Alta,Media,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
5,Crédito Fácil,SOFOM,Préstamos Personales,Alta,Baja,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
6,Plan Credi,SOFOM,Financiamiento,Media,Baja,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
7,Apoyo Económico Familiar,SOFOM,Préstamos Grupales e Individuales,Alta,Media,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
8,H Financieros,SOFOM,Financiamiento Corporativo/Pyme,Media,Media,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
9,Attendo,SOFOM,Crédito de Nómina,Alta,Baja,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
10,Finvivir,SOFOM,Microcréditos Populares,Alta,Media,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
